miRNA,disease,preScore
hsa-mir-190a,Liver Neoplasms,0.4027
hsa-mir-592,Liver Neoplasms,0.3978
hsa-mir-487b,Liver Neoplasms,0.3935
hsa-mir-582,Liver Neoplasms,0.3889
hsa-mir-622,Liver Neoplasms,0.388
hsa-mir-365b,Liver Neoplasms,0.386
hsa-mir-517a,Liver Neoplasms,0.3836
hsa-mir-520d,Liver Neoplasms,0.3832
hsa-mir-1297,Liver Neoplasms,0.3827
hsa-mir-1224,Liver Neoplasms,0.3809
hsa-mir-153-2,Liver Neoplasms,0.3807
hsa-mir-637,Liver Neoplasms,0.3795
hsa-mir-940,Liver Neoplasms,0.3783
hsa-mir-1228,Liver Neoplasms,0.3775
hsa-mir-608,Liver Neoplasms,0.3749
hsa-mir-543,Liver Neoplasms,0.3734
hsa-mir-942,Liver Neoplasms,0.3722
hsa-mir-323a,Liver Neoplasms,0.3721
hsa-mir-203a,Liver Neoplasms,0.371
hsa-mir-337,Liver Neoplasms,0.371
hsa-mir-570,Liver Neoplasms,0.3709
hsa-mir-765,Liver Neoplasms,0.37
hsa-mir-129-1,Liver Neoplasms,0.3681
hsa-mir-873,Liver Neoplasms,0.3677
hsa-mir-1247,Liver Neoplasms,0.366
hsa-mir-151b,Liver Neoplasms,0.366
hsa-mir-665,Liver Neoplasms,0.3603
hsa-mir-501,Liver Neoplasms,0.3585
hsa-mir-500a,Liver Neoplasms,0.3578
hsa-mir-766,Liver Neoplasms,0.3566
hsa-mir-511,Liver Neoplasms,0.3548
hsa-mir-939,Liver Neoplasms,0.3522
hsa-mir-520h,Liver Neoplasms,0.3471
hsa-mir-513c,Liver Neoplasms,0.345
hsa-mir-298,Liver Neoplasms,0.3404
hsa-mir-1275,Liver Neoplasms,0.3403
hsa-mir-346,Liver Neoplasms,0.3371
hsa-mir-369,Liver Neoplasms,0.3361
hsa-mir-376a-2,Liver Neoplasms,0.3345
hsa-mir-508,Liver Neoplasms,0.3332
hsa-mir-595,Liver Neoplasms,0.3295
hsa-mir-513a-1,Liver Neoplasms,0.3258
hsa-mir-758,Liver Neoplasms,0.3242
hsa-mir-520g,Liver Neoplasms,0.3239
hsa-mir-526b,Liver Neoplasms,0.3237
hsa-mir-1258,Liver Neoplasms,0.3229
hsa-mir-518e,Liver Neoplasms,0.3188
hsa-mir-760,Liver Neoplasms,0.3187
hsa-mir-103b-1,Liver Neoplasms,0.3171
hsa-mir-103b-2,Liver Neoplasms,0.317
hsa-mir-1236,Liver Neoplasms,0.3163
hsa-mir-519c,Liver Neoplasms,0.3162
hsa-mir-376a-1,Liver Neoplasms,0.3153
hsa-mir-524,Liver Neoplasms,0.3135
hsa-mir-513a-2,Liver Neoplasms,0.3108
hsa-mir-636,Liver Neoplasms,0.3105
hsa-mir-660,Liver Neoplasms,0.3105
hsa-mir-616,Liver Neoplasms,0.3085
hsa-mir-488,Liver Neoplasms,0.3072
hsa-mir-384,Liver Neoplasms,0.3066
hsa-mir-642a,Liver Neoplasms,0.3047
hsa-mir-518b,Liver Neoplasms,0.3021
hsa-mir-545,Liver Neoplasms,0.3016
hsa-mir-576,Liver Neoplasms,0.3008
hsa-mir-661,Liver Neoplasms,0.3003
hsa-mir-646,Liver Neoplasms,0.2993
hsa-mir-516a-1,Liver Neoplasms,0.2992
hsa-mir-573,Liver Neoplasms,0.2964
hsa-mir-767,Liver Neoplasms,0.2934
hsa-mir-4775,Liver Neoplasms,0.288
hsa-mir-297,Liver Neoplasms,0.2855
hsa-mir-4306,Liver Neoplasms,0.2839
hsa-mir-302f,Liver Neoplasms,0.2826
hsa-mir-601,Liver Neoplasms,0.2821
hsa-mir-1303,Liver Neoplasms,0.2817
hsa-mir-550a-1,Liver Neoplasms,0.2787
hsa-mir-615,Liver Neoplasms,0.2775
hsa-mir-578,Liver Neoplasms,0.2771
hsa-mir-492,Liver Neoplasms,0.2751
hsa-mir-519e,Liver Neoplasms,0.2748
hsa-mir-3658,Liver Neoplasms,0.2732
hsa-mir-1908,Liver Neoplasms,0.2724
hsa-mir-598,Liver Neoplasms,0.271
hsa-mir-2110,Liver Neoplasms,0.263
hsa-mir-2355,Liver Neoplasms,0.2602
hsa-mir-605,Liver Neoplasms,0.259
hsa-mir-572,Liver Neoplasms,0.2587
hsa-mir-944,Liver Neoplasms,0.258
hsa-mir-3148,Liver Neoplasms,0.2564
hsa-mir-550a-2,Liver Neoplasms,0.254
hsa-mir-603,Liver Neoplasms,0.2536
hsa-mir-639,Liver Neoplasms,0.2527
hsa-mir-412,Liver Neoplasms,0.252
hsa-mir-510,Liver Neoplasms,0.2517
hsa-mir-761,Liver Neoplasms,0.2479
hsa-mir-513b,Liver Neoplasms,0.2479
hsa-mir-1825,Liver Neoplasms,0.2473
hsa-mir-579,Liver Neoplasms,0.2468
hsa-mir-523,Liver Neoplasms,0.2438
hsa-mir-520f,Liver Neoplasms,0.2431
hsa-mir-4282,Liver Neoplasms,0.2419
hsa-mir-1296,Liver Neoplasms,0.2418
hsa-mir-552,Liver Neoplasms,0.2416
hsa-mir-4764,Liver Neoplasms,0.2415
hsa-mir-655,Liver Neoplasms,0.2401
hsa-mir-147a,Liver Neoplasms,0.2398
hsa-mir-1299,Liver Neoplasms,0.2397
hsa-mir-1281,Liver Neoplasms,0.2393
hsa-mir-325,Liver Neoplasms,0.2391
hsa-mir-718,Liver Neoplasms,0.2365
hsa-mir-518a-2,Liver Neoplasms,0.2357
hsa-mir-1260a,Liver Neoplasms,0.2352
hsa-mir-4447,Liver Neoplasms,0.2344
hsa-mir-7847,Liver Neoplasms,0.2343
hsa-mir-516b-1,Liver Neoplasms,0.2341
hsa-mir-557,Liver Neoplasms,0.2335
hsa-mir-4469,Liver Neoplasms,0.2332
hsa-mir-522,Liver Neoplasms,0.2331
hsa-mir-378g,Liver Neoplasms,0.2322
hsa-mir-627,Liver Neoplasms,0.232
hsa-mir-5003,Liver Neoplasms,0.2316
hsa-mir-1227,Liver Neoplasms,0.2303
hsa-mir-663b,Liver Neoplasms,0.2296
hsa-mir-589,Liver Neoplasms,0.2296
hsa-mir-4732,Liver Neoplasms,0.2294
hsa-mir-516b-2,Liver Neoplasms,0.2293
hsa-mir-6124,Liver Neoplasms,0.2286
hsa-mir-1248,Liver Neoplasms,0.2285
hsa-mir-323b,Liver Neoplasms,0.2279
hsa-mir-3178,Liver Neoplasms,0.2273
hsa-mir-376b,Liver Neoplasms,0.2271
hsa-mir-1268b,Liver Neoplasms,0.2264
hsa-mir-4466,Liver Neoplasms,0.2244
hsa-mir-4326,Liver Neoplasms,0.2242
hsa-mir-647,Liver Neoplasms,0.2241
hsa-mir-577,Liver Neoplasms,0.224
hsa-mir-1301,Liver Neoplasms,0.2239
hsa-mir-888,Liver Neoplasms,0.2234
hsa-mir-515-2,Liver Neoplasms,0.223
hsa-mir-6780b,Liver Neoplasms,0.2224
hsa-mir-1260b,Liver Neoplasms,0.2224
hsa-mir-1267,Liver Neoplasms,0.221
hsa-mir-634,Liver Neoplasms,0.2209
hsa-mir-4723,Liver Neoplasms,0.2184
hsa-mir-3127,Liver Neoplasms,0.2183
hsa-mir-371b,Liver Neoplasms,0.2168
hsa-mir-624,Liver Neoplasms,0.2159
hsa-mir-378b,Liver Neoplasms,0.2158
hsa-mir-4706,Liver Neoplasms,0.2155
hsa-mir-380,Liver Neoplasms,0.215
hsa-mir-4731,Liver Neoplasms,0.2142
hsa-mir-1538,Liver Neoplasms,0.214
hsa-mir-561,Liver Neoplasms,0.2136
hsa-mir-1305,Liver Neoplasms,0.2133
hsa-mir-1295b,Liver Neoplasms,0.2131
hsa-mir-1291,Liver Neoplasms,0.2131
hsa-mir-23c,Liver Neoplasms,0.2125
hsa-mir-514a-3,Liver Neoplasms,0.2124
hsa-mir-3126,Liver Neoplasms,0.212
hsa-mir-3065,Liver Neoplasms,0.2119
hsa-mir-4258,Liver Neoplasms,0.211
hsa-mir-4298,Liver Neoplasms,0.2109
hsa-mir-512-1,Liver Neoplasms,0.2097
hsa-mir-1179,Liver Neoplasms,0.2095
hsa-mir-551b,Liver Neoplasms,0.2091
hsa-mir-320e,Liver Neoplasms,0.209
hsa-mir-378i,Liver Neoplasms,0.2087
hsa-mir-635,Liver Neoplasms,0.2086
hsa-mir-6852,Liver Neoplasms,0.208
hsa-mir-610,Liver Neoplasms,0.2077
hsa-mir-4782,Liver Neoplasms,0.2076
hsa-mir-5010,Liver Neoplasms,0.2064
hsa-mir-670,Liver Neoplasms,0.2064
hsa-mir-6875,Liver Neoplasms,0.2059
hsa-mir-4739,Liver Neoplasms,0.2056
hsa-mir-1231,Liver Neoplasms,0.2056
hsa-mir-2861,Liver Neoplasms,0.2037
hsa-mir-1266,Liver Neoplasms,0.2035
hsa-mir-762,Liver Neoplasms,0.2033
hsa-mir-1282,Liver Neoplasms,0.2029
hsa-mir-4518,Liver Neoplasms,0.2026
hsa-mir-568,Liver Neoplasms,0.2022
hsa-mir-4290,Liver Neoplasms,0.2019
hsa-mir-3163,Liver Neoplasms,0.2018
hsa-mir-544a,Liver Neoplasms,0.2015
hsa-mir-4728,Liver Neoplasms,0.2014
hsa-mir-1915,Liver Neoplasms,0.2005
hsa-mir-378h,Liver Neoplasms,0.2002
hsa-mir-378f,Liver Neoplasms,0.1994
hsa-mir-587,Liver Neoplasms,0.1993
hsa-mir-617,Liver Neoplasms,0.1992
hsa-mir-2116,Liver Neoplasms,0.1988
hsa-mir-1468,Liver Neoplasms,0.1985
hsa-mir-643,Liver Neoplasms,0.1982
hsa-mir-1202,Liver Neoplasms,0.1976
hsa-mir-4455,Liver Neoplasms,0.1973
hsa-mir-514a-1,Liver Neoplasms,0.1971
hsa-mir-769,Liver Neoplasms,0.1971
hsa-mir-1469,Liver Neoplasms,0.197
hsa-mir-544b,Liver Neoplasms,0.1969
hsa-mir-3182,Liver Neoplasms,0.1969
hsa-mir-6853,Liver Neoplasms,0.1968
hsa-mir-518a-1,Liver Neoplasms,0.1967
hsa-mir-4286,Liver Neoplasms,0.1961
hsa-mir-1287,Liver Neoplasms,0.196
hsa-mir-5193,Liver Neoplasms,0.1954
hsa-mir-516a-2,Liver Neoplasms,0.1951
hsa-mir-564,Liver Neoplasms,0.1951
hsa-mir-1261,Liver Neoplasms,0.1948
hsa-mir-6798,Liver Neoplasms,0.1947
hsa-mir-1233-2,Liver Neoplasms,0.1946
hsa-mir-4324,Liver Neoplasms,0.1942
hsa-mir-378e,Liver Neoplasms,0.1937
hsa-mir-620,Liver Neoplasms,0.1923
hsa-mir-600,Liver Neoplasms,0.1921
hsa-mir-519b,Liver Neoplasms,0.192
hsa-mir-877,Liver Neoplasms,0.192
hsa-mir-7702,Liver Neoplasms,0.192
hsa-mir-512-2,Liver Neoplasms,0.192
hsa-mir-4467,Liver Neoplasms,0.1914
hsa-mir-1256,Liver Neoplasms,0.1914
hsa-mir-548ac,Liver Neoplasms,0.1906
hsa-mir-618,Liver Neoplasms,0.1904
hsa-mir-3611,Liver Neoplasms,0.1895
hsa-mir-1181,Liver Neoplasms,0.1892
hsa-mir-4281,Liver Neoplasms,0.1891
hsa-mir-6729,Liver Neoplasms,0.1889
hsa-mir-4778,Liver Neoplasms,0.1887
hsa-mir-3667,Liver Neoplasms,0.1884
hsa-mir-548l,Liver Neoplasms,0.188
hsa-mir-507,Liver Neoplasms,0.188
hsa-mir-5100,Liver Neoplasms,0.1879
hsa-mir-1270,Liver Neoplasms,0.1878
hsa-mir-378c,Liver Neoplasms,0.1877
hsa-mir-548j,Liver Neoplasms,0.1877
hsa-mir-933,Liver Neoplasms,0.1874
hsa-mir-6826,Liver Neoplasms,0.1872
hsa-mir-3677,Liver Neoplasms,0.1872
hsa-mir-450a-2,Liver Neoplasms,0.187
hsa-mir-4746,Liver Neoplasms,0.1866
hsa-mir-4301,Liver Neoplasms,0.186
hsa-mir-3940,Liver Neoplasms,0.1852
hsa-mir-378d-1,Liver Neoplasms,0.1849
hsa-mir-1306,Liver Neoplasms,0.1849
hsa-mir-4489,Liver Neoplasms,0.1845
hsa-mir-1298,Liver Neoplasms,0.1843
hsa-mir-6867,Liver Neoplasms,0.1839
hsa-mir-302e,Liver Neoplasms,0.1838
hsa-mir-3682,Liver Neoplasms,0.1837
hsa-mir-4310,Liver Neoplasms,0.1836
hsa-mir-1226,Liver Neoplasms,0.183
hsa-mir-4463,Liver Neoplasms,0.1826
hsa-mir-3189,Liver Neoplasms,0.1824
hsa-mir-657,Liver Neoplasms,0.1816
hsa-mir-3179-2,Liver Neoplasms,0.1814
hsa-mir-320b-2,Liver Neoplasms,0.1814
hsa-mir-1293,Liver Neoplasms,0.1811
hsa-mir-602,Liver Neoplasms,0.181
hsa-mir-3142,Liver Neoplasms,0.1805
hsa-mir-3120,Liver Neoplasms,0.1805
hsa-mir-1185-1,Liver Neoplasms,0.1803
hsa-mir-1268a,Liver Neoplasms,0.18
hsa-mir-4302,Liver Neoplasms,0.1795
hsa-mir-920,Liver Neoplasms,0.1793
hsa-mir-3960,Liver Neoplasms,0.1792
hsa-mir-378d-2,Liver Neoplasms,0.1789
hsa-mir-3195,Liver Neoplasms,0.1788
hsa-mir-1206,Liver Neoplasms,0.1786
hsa-mir-4521,Liver Neoplasms,0.1786
hsa-mir-658,Liver Neoplasms,0.1784
hsa-mir-1304,Liver Neoplasms,0.1782
hsa-mir-4511,Liver Neoplasms,0.1781
hsa-mir-606,Liver Neoplasms,0.178
hsa-mir-3179-1,Liver Neoplasms,0.1773
hsa-mir-1249,Liver Neoplasms,0.1772
hsa-mir-1973,Liver Neoplasms,0.1771
hsa-mir-3613,Liver Neoplasms,0.1771
hsa-mir-1180,Liver Neoplasms,0.177
hsa-mir-3151,Liver Neoplasms,0.1766
hsa-mir-451b,Liver Neoplasms,0.1762
hsa-mir-626,Liver Neoplasms,0.1759
hsa-mir-4268,Liver Neoplasms,0.1755
hsa-mir-3162,Liver Neoplasms,0.1751
hsa-mir-631,Liver Neoplasms,0.1748
hsa-mir-4317,Liver Neoplasms,0.1746
hsa-mir-4666a,Liver Neoplasms,0.1745
hsa-mir-4644,Liver Neoplasms,0.174
hsa-mir-4449,Liver Neoplasms,0.1738
hsa-mir-4697,Liver Neoplasms,0.1734
hsa-mir-1285-1,Liver Neoplasms,0.173
hsa-mir-599,Liver Neoplasms,0.173
hsa-mir-4736,Liver Neoplasms,0.1729
hsa-mir-1285-2,Liver Neoplasms,0.1728
hsa-mir-633,Liver Neoplasms,0.1728
hsa-mir-571,Liver Neoplasms,0.1727
hsa-mir-619,Liver Neoplasms,0.1726
hsa-mir-4758,Liver Neoplasms,0.1725
hsa-mir-1233-1,Liver Neoplasms,0.1724
hsa-mir-1273c,Liver Neoplasms,0.172
hsa-mir-922,Liver Neoplasms,0.1716
hsa-mir-519a-1,Liver Neoplasms,0.1713
hsa-mir-1255a,Liver Neoplasms,0.1712
hsa-mir-921,Liver Neoplasms,0.1711
hsa-mir-203b,Liver Neoplasms,0.1708
hsa-mir-3664,Liver Neoplasms,0.1707
hsa-mir-4291,Liver Neoplasms,0.1705
hsa-mir-521-2,Liver Neoplasms,0.1702
hsa-mir-567,Liver Neoplasms,0.1699
hsa-mir-3176,Liver Neoplasms,0.1699
hsa-mir-889,Liver Neoplasms,0.169
hsa-mir-3175,Liver Neoplasms,0.1688
hsa-mir-3646,Liver Neoplasms,0.1687
hsa-mir-1269a,Liver Neoplasms,0.1683
hsa-mir-509-3,Liver Neoplasms,0.168
hsa-mir-3915,Liver Neoplasms,0.168
hsa-mir-7107,Liver Neoplasms,0.1678
hsa-mir-499b,Liver Neoplasms,0.1676
hsa-mir-1245a,Liver Neoplasms,0.1673
hsa-mir-1284,Liver Neoplasms,0.1668
hsa-mir-3157,Liver Neoplasms,0.1666
hsa-mir-517c,Liver Neoplasms,0.1661
hsa-mir-645,Liver Neoplasms,0.1657
hsa-mir-593,Liver Neoplasms,0.1657
hsa-mir-7706,Liver Neoplasms,0.1654
hsa-mir-548c,Liver Neoplasms,0.1653
hsa-mir-5189,Liver Neoplasms,0.165
hsa-mir-548an,Liver Neoplasms,0.165
hsa-mir-1253,Liver Neoplasms,0.1647
hsa-mir-597,Liver Neoplasms,0.1644
hsa-mir-1234,Liver Neoplasms,0.1643
hsa-mir-548p,Liver Neoplasms,0.1641
hsa-mir-4271,Liver Neoplasms,0.1636
hsa-mir-4443,Liver Neoplasms,0.1631
hsa-mir-527,Liver Neoplasms,0.163
hsa-mir-548d-1,Liver Neoplasms,0.163
hsa-mir-1277,Liver Neoplasms,0.1628
hsa-mir-6088,Liver Neoplasms,0.1626
hsa-mir-1184-1,Liver Neoplasms,0.162
hsa-mir-1229,Liver Neoplasms,0.1616
hsa-mir-3651,Liver Neoplasms,0.1615
hsa-mir-651,Liver Neoplasms,0.1615
hsa-mir-604,Liver Neoplasms,0.1614
hsa-mir-3130-2,Liver Neoplasms,0.1614
hsa-mir-935,Liver Neoplasms,0.1613
hsa-mir-5004,Liver Neoplasms,0.1607
hsa-mir-3686,Liver Neoplasms,0.1606
hsa-mir-3201,Liver Neoplasms,0.1604
hsa-mir-6831,Liver Neoplasms,0.1603
hsa-mir-943,Liver Neoplasms,0.1603
hsa-mir-3928,Liver Neoplasms,0.1592
hsa-mir-562,Liver Neoplasms,0.1587
hsa-mir-4319,Liver Neoplasms,0.1583
hsa-mir-6068,Liver Neoplasms,0.1582
hsa-mir-541,Liver Neoplasms,0.1581
hsa-mir-3131,Liver Neoplasms,0.158
hsa-mir-581,Liver Neoplasms,0.1577
hsa-mir-938,Liver Neoplasms,0.1577
hsa-mir-649,Liver Neoplasms,0.1574
hsa-mir-4488,Liver Neoplasms,0.1574
hsa-mir-550b-2,Liver Neoplasms,0.1572
hsa-mir-548d-2,Liver Neoplasms,0.1571
hsa-mir-4687,Liver Neoplasms,0.1569
hsa-mir-569,Liver Neoplasms,0.1568
hsa-mir-518d,Liver Neoplasms,0.1568
hsa-mir-1265,Liver Neoplasms,0.1566
hsa-mir-5091,Liver Neoplasms,0.1565
hsa-mir-664b,Liver Neoplasms,0.1565
hsa-mir-3200,Liver Neoplasms,0.1564
hsa-mir-4448,Liver Neoplasms,0.1559
hsa-mir-466,Liver Neoplasms,0.1552
hsa-mir-654,Liver Neoplasms,0.155
hsa-mir-3654,Liver Neoplasms,0.1546
hsa-mir-892a,Liver Neoplasms,0.1532
hsa-mir-6869,Liver Neoplasms,0.1527
hsa-mir-515-1,Liver Neoplasms,0.1524
hsa-mir-3135b,Liver Neoplasms,0.1513
hsa-mir-3619,Liver Neoplasms,0.1512
hsa-mir-1238,Liver Neoplasms,0.1512
hsa-mir-521-1,Liver Neoplasms,0.1504
hsa-mir-450a-1,Liver Neoplasms,0.1501
hsa-mir-4270,Liver Neoplasms,0.1499
hsa-mir-3622b,Liver Neoplasms,0.1492
hsa-mir-3196,Liver Neoplasms,0.1492
hsa-mir-3610,Liver Neoplasms,0.1491
hsa-mir-551a,Liver Neoplasms,0.1488
hsa-mir-664a,Liver Neoplasms,0.1486
hsa-mir-934,Liver Neoplasms,0.1485
hsa-mir-5590,Liver Neoplasms,0.1481
hsa-mir-487a,Liver Neoplasms,0.1481
hsa-mir-764,Liver Neoplasms,0.1479
hsa-mir-876,Liver Neoplasms,0.1478
hsa-mir-7161,Liver Neoplasms,0.1477
hsa-mir-320d-1,Liver Neoplasms,0.1471
hsa-mir-6873,Liver Neoplasms,0.1471
hsa-mir-632,Liver Neoplasms,0.1461
hsa-mir-1324,Liver Neoplasms,0.1452
hsa-mir-550a-3,Liver Neoplasms,0.1452
hsa-mir-4496,Liver Neoplasms,0.1452
hsa-mir-509-1,Liver Neoplasms,0.145
hsa-mir-3074,Liver Neoplasms,0.1449
hsa-mir-3130-1,Liver Neoplasms,0.1448
hsa-mir-320b-1,Liver Neoplasms,0.1444
hsa-mir-4709,Liver Neoplasms,0.144
hsa-mir-6133,Liver Neoplasms,0.1439
hsa-mir-5699,Liver Neoplasms,0.1439
hsa-mir-659,Liver Neoplasms,0.1439
hsa-mir-4279,Liver Neoplasms,0.1433
hsa-mir-6799,Liver Neoplasms,0.1431
hsa-mir-4513,Liver Neoplasms,0.1429
hsa-mir-4633,Liver Neoplasms,0.1423
hsa-mir-514b,Liver Neoplasms,0.1423
hsa-mir-3714,Liver Neoplasms,0.1423
hsa-mir-648,Liver Neoplasms,0.1423
hsa-mir-4695,Liver Neoplasms,0.142
hsa-mir-496,Liver Neoplasms,0.1418
hsa-mir-6861,Liver Neoplasms,0.1417
hsa-mir-514a-2,Liver Neoplasms,0.1416
hsa-mir-1245b,Liver Neoplasms,0.1415
hsa-mir-548a-3,Liver Neoplasms,0.1407
hsa-mir-586,Liver Neoplasms,0.1406
hsa-mir-4446,Liver Neoplasms,0.1405
hsa-mir-941-4,Liver Neoplasms,0.1398
hsa-mir-662,Liver Neoplasms,0.1397
hsa-mir-1471,Liver Neoplasms,0.1397
hsa-mir-4487,Liver Neoplasms,0.1396
hsa-mir-3179-3,Liver Neoplasms,0.1393
hsa-mir-941-1,Liver Neoplasms,0.1393
hsa-mir-558,Liver Neoplasms,0.1393
hsa-mir-1288,Liver Neoplasms,0.1393
hsa-mir-4534,Liver Neoplasms,0.1388
hsa-mir-3662,Liver Neoplasms,0.1386
hsa-mir-4257,Liver Neoplasms,0.1382
hsa-mir-329-1,Liver Neoplasms,0.1379
hsa-mir-4508,Liver Neoplasms,0.1379
hsa-mir-374c,Liver Neoplasms,0.1377
hsa-mir-1322,Liver Neoplasms,0.1372
hsa-mir-329-2,Liver Neoplasms,0.1366
hsa-mir-3925,Liver Neoplasms,0.1359
hsa-mir-3908,Liver Neoplasms,0.1358
hsa-mir-3149,Liver Neoplasms,0.1355
hsa-mir-548a-2,Liver Neoplasms,0.1353
hsa-mir-3117,Liver Neoplasms,0.135
hsa-mir-591,Liver Neoplasms,0.135
hsa-mir-941-3,Liver Neoplasms,0.135
hsa-mir-8084,Liver Neoplasms,0.1348
hsa-mir-3144,Liver Neoplasms,0.1344
hsa-mir-6086,Liver Neoplasms,0.1344
hsa-mir-1264,Liver Neoplasms,0.1342
hsa-mir-4701,Liver Neoplasms,0.134
hsa-mir-4634,Liver Neoplasms,0.1337
hsa-mir-711,Liver Neoplasms,0.1335
hsa-mir-1182,Liver Neoplasms,0.1334
hsa-mir-550b-1,Liver Neoplasms,0.1333
hsa-mir-640,Liver Neoplasms,0.1327
hsa-mir-1910,Liver Neoplasms,0.1322
hsa-mir-500b,Liver Neoplasms,0.1317
hsa-mir-449c,Liver Neoplasms,0.1315
hsa-mir-6880,Liver Neoplasms,0.1312
hsa-mir-1343,Liver Neoplasms,0.1312
hsa-mir-770,Liver Neoplasms,0.1311
hsa-mir-1276,Liver Neoplasms,0.1304
hsa-mir-6508,Liver Neoplasms,0.1292
hsa-mir-3186,Liver Neoplasms,0.1291
hsa-mir-4672,Liver Neoplasms,0.1286
hsa-mir-4262,Liver Neoplasms,0.1285
hsa-mir-3666,Liver Neoplasms,0.128
hsa-mir-4423,Liver Neoplasms,0.1277
hsa-mir-4454,Liver Neoplasms,0.1274
hsa-mir-1914,Liver Neoplasms,0.1272
hsa-mir-2909,Liver Neoplasms,0.127
hsa-mir-105-2,Liver Neoplasms,0.127
hsa-mir-556,Liver Neoplasms,0.1268
hsa-mir-1286,Liver Neoplasms,0.1261
hsa-mir-3923,Liver Neoplasms,0.1253
hsa-mir-1323,Liver Neoplasms,0.1252
hsa-mir-583,Liver Neoplasms,0.1246
hsa-mir-4284,Liver Neoplasms,0.1245
hsa-mir-5582,Liver Neoplasms,0.1236
hsa-mir-892b,Liver Neoplasms,0.1232
hsa-mir-548a-1,Liver Neoplasms,0.123
hsa-mir-4293,Liver Neoplasms,0.1227
hsa-mir-4772,Liver Neoplasms,0.1219
hsa-mir-6126,Liver Neoplasms,0.1215
hsa-mir-668,Liver Neoplasms,0.1209
hsa-mir-1827,Liver Neoplasms,0.1206
hsa-mir-4478,Liver Neoplasms,0.1206
hsa-mir-2682,Liver Neoplasms,0.1206
hsa-mir-3171,Liver Neoplasms,0.1205
hsa-mir-5586,Liver Neoplasms,0.1205
hsa-mir-4294,Liver Neoplasms,0.1201
hsa-mir-802,Liver Neoplasms,0.1183
hsa-mir-4295,Liver Neoplasms,0.1175
hsa-mir-4458,Liver Neoplasms,0.1172
hsa-mir-611,Liver Neoplasms,0.1165
hsa-mir-3663,Liver Neoplasms,0.1163
hsa-mir-3161,Liver Neoplasms,0.1161
hsa-mir-4530,Liver Neoplasms,0.1156
hsa-mir-621,Liver Neoplasms,0.1149
hsa-mir-509-2,Liver Neoplasms,0.1149
hsa-mir-4500,Liver Neoplasms,0.1132
hsa-mir-642b,Liver Neoplasms,0.113
hsa-mir-2278,Liver Neoplasms,0.113
hsa-mir-105-1,Liver Neoplasms,0.1108
hsa-mir-4490,Liver Neoplasms,0.1106
hsa-mir-3185,Liver Neoplasms,0.1105
hsa-mir-1302-1,Liver Neoplasms,0.1102
hsa-mir-3614,Liver Neoplasms,0.1099
hsa-mir-937,Liver Neoplasms,0.1079
hsa-mir-891a,Liver Neoplasms,0.1074
hsa-mir-6836,Liver Neoplasms,0.1073
hsa-mir-519a-2,Liver Neoplasms,0.106
hsa-mir-1292,Liver Neoplasms,0.1055
hsa-mir-614,Liver Neoplasms,0.1054
hsa-mir-6721,Liver Neoplasms,0.1054
hsa-mir-555,Liver Neoplasms,0.1052
hsa-mir-1976,Liver Neoplasms,0.1048
hsa-mir-1237,Liver Neoplasms,0.1035
hsa-mir-1178,Liver Neoplasms,0.1029
hsa-mir-517b,Liver Neoplasms,0.1027
hsa-mir-585,Liver Neoplasms,0.1026
hsa-mir-4429,Liver Neoplasms,0.1024
hsa-mir-1294,Liver Neoplasms,0.1016
hsa-mir-4476,Liver Neoplasms,0.101
hsa-mir-3622a,Liver Neoplasms,0.0999
hsa-mir-1302-2,Liver Neoplasms,0.0998
hsa-mir-6075,Liver Neoplasms,0.0984
hsa-mir-4480,Liver Neoplasms,0.0983
hsa-mir-548k,Liver Neoplasms,0.0979
hsa-mir-3909,Liver Neoplasms,0.0965
hsa-mir-4436b-2,Liver Neoplasms,0.0964
hsa-mir-641,Liver Neoplasms,0.0956
hsa-mir-875,Liver Neoplasms,0.0947
hsa-mir-4436b-1,Liver Neoplasms,0.0928
hsa-mir-1302-3,Liver Neoplasms,0.092
hsa-mir-4505,Liver Neoplasms,0.0908
hsa-mir-3177,Liver Neoplasms,0.0894
hsa-mir-4721,Liver Neoplasms,0.0863
hsa-mir-596,Liver Neoplasms,0.0824
hsa-mir-1302-5,Liver Neoplasms,0.0816
hsa-mir-1972-1,Liver Neoplasms,0.08
hsa-mir-1302-7,Liver Neoplasms,0.0799
hsa-mir-3945,Liver Neoplasms,0.0799
hsa-mir-1302-8,Liver Neoplasms,0.0792
hsa-mir-548b,Liver Neoplasms,0.0766
hsa-mir-1302-6,Liver Neoplasms,0.0758
hsa-mir-4717,Liver Neoplasms,0.0755
hsa-mir-1302-4,Liver Neoplasms,0.0753
hsa-mir-6838,Liver Neoplasms,0.074
hsa-mir-4649,Liver Neoplasms,0.0681
hsa-mir-656,Liver Neoplasms,0.0675
hsa-mir-1295a,Liver Neoplasms,0.0665
hsa-mir-4753,Liver Neoplasms,0.0651
hsa-mir-3620,Liver Neoplasms,0.0605
hsa-mir-6069,Liver Neoplasms,0.0581
hsa-mir-518f,Liver Neoplasms,0.0574
hsa-mir-1183,Liver Neoplasms,0.0536
hsa-mir-1909,Liver Neoplasms,0.0417
hsa-mir-3138,Liver Neoplasms,0.0397
hsa-mir-6886,Liver Neoplasms,0.0287
hsa-mir-4793,Liver Neoplasms,0.0269
hsa-mir-6720,Liver Neoplasms,0.0261
hsa-mir-676,Liver Neoplasms,0.0183
