circRNA,disease,preScore
hsa_circ_0038374,Esophageal squamous cell carcinoma,0.394
hsa_circ_0067997,Esophageal squamous cell carcinoma,0.394
hsa_circ_0104204,Esophageal squamous cell carcinoma,0.3939
hsa_circ_0004712,Esophageal squamous cell carcinoma,0.3938
hsa_circ_0003998,Esophageal squamous cell carcinoma,0.3938
hsa_circ_0008922,Esophageal squamous cell carcinoma,0.3937
hsa_circ_0047924,Esophageal squamous cell carcinoma,0.3936
hsa_circ_0075829,Esophageal squamous cell carcinoma,0.3936
hsa_circ_0003496,Esophageal squamous cell carcinoma,0.3933
hsa_circ_0066529,Esophageal squamous cell carcinoma,0.3933
hsa_circ_0067745,Esophageal squamous cell carcinoma,0.3928
hsa_circ_0040103,Esophageal squamous cell carcinoma,0.3927
circ_0000337,Esophageal squamous cell carcinoma,0.3927
hsa_circ_0016624,Esophageal squamous cell carcinoma,0.3925
hsa_circ_0004674,Esophageal squamous cell carcinoma,0.3923
hsa_circ_0002211,Esophageal squamous cell carcinoma,0.3922
circ_0001649,Esophageal squamous cell carcinoma,0.392
hsa_circ_0002360,Esophageal squamous cell carcinoma,0.3919
hsa_circ_0005963,Esophageal squamous cell carcinoma,0.3919
hsa_circ_0083682,Esophageal squamous cell carcinoma,0.3918
hsa_circ_0044519,Esophageal squamous cell carcinoma,0.3918
circ_0026344,Esophageal squamous cell carcinoma,0.3917
hsa_circ_0063411,Esophageal squamous cell carcinoma,0.3917
hsa_circ_0021553,Esophageal squamous cell carcinoma,0.3916
hsa_circ_0075001,Esophageal squamous cell carcinoma,0.3915
hsa_circ_0036722,Esophageal squamous cell carcinoma,0.3915
hsa_circ_0001741,Esophageal squamous cell carcinoma,0.3913
hsa_circ_0093996,Esophageal squamous cell carcinoma,0.3912
circ_0049663,Esophageal squamous cell carcinoma,0.3912
hsa_circ_0081519,Esophageal squamous cell carcinoma,0.3911
hsa_circ_0001766,Esophageal squamous cell carcinoma,0.3911
hsa_circ_0025039,Esophageal squamous cell carcinoma,0.391
hsa_circ_0006276,Esophageal squamous cell carcinoma,0.3909
hsa_circ_0030569,Esophageal squamous cell carcinoma,0.3906
hsa_circ_0030632,Esophageal squamous cell carcinoma,0.3906
hsa_circ_0060063,Esophageal squamous cell carcinoma,0.3905
hsa_circ_0036877,Esophageal squamous cell carcinoma,0.3904
hsa_circ_0098619,Esophageal squamous cell carcinoma,0.3903
hsa_circ_0071036,Esophageal squamous cell carcinoma,0.3901
hsa_circ_0038632,Esophageal squamous cell carcinoma,0.3901
hsa_circ_0000345,Esophageal squamous cell carcinoma,0.3901
hsa_circ_0014243,Esophageal squamous cell carcinoma,0.39
hsa_circ_0000467,Esophageal squamous cell carcinoma,0.3898
hsa_circ_0036878,Esophageal squamous cell carcinoma,0.3896
hsa_circ_0003391,Esophageal squamous cell carcinoma,0.3893
hsa_circ_0056731,Esophageal squamous cell carcinoma,0.3892
hsa_circ_0112085,Esophageal squamous cell carcinoma,0.3892
hsa_circ_0099999,Esophageal squamous cell carcinoma,0.3891
hsa_circ_0045510,Esophageal squamous cell carcinoma,0.3891
hsa_circ_0001481,Esophageal squamous cell carcinoma,0.3889
circ_0037655,Esophageal squamous cell carcinoma,0.3887
hsa_circ_0007445,Esophageal squamous cell carcinoma,0.3887
hsa_circ_0005909,Esophageal squamous cell carcinoma,0.3885
hsa_circ_0013509,Esophageal squamous cell carcinoma,0.3885
hsa_circ_0007482,Esophageal squamous cell carcinoma,0.3882
hsa_circ_0035483,Esophageal squamous cell carcinoma,0.3879
hsa_circ_0035563,Esophageal squamous cell carcinoma,0.3878
hsa_circ_0007013,Esophageal squamous cell carcinoma,0.3876
hsa_circ_0008360,Esophageal squamous cell carcinoma,0.387
hsa_circ_0004777,Esophageal squamous cell carcinoma,0.387
hsa_circ_0006323,Esophageal squamous cell carcinoma,0.3869
hsa_circ_0067209,Esophageal squamous cell carcinoma,0.3867
hsa_circ_001587,Esophageal squamous cell carcinoma,0.3866
hsa_circ_0015288,Esophageal squamous cell carcinoma,0.3866
hsa_circ_0077232,Esophageal squamous cell carcinoma,0.3866
hsa_circ_0006990,Esophageal squamous cell carcinoma,0.3865
hsa_circ_0056048,Esophageal squamous cell carcinoma,0.3864
hsa_circ_0019340,Esophageal squamous cell carcinoma,0.3863
circ_002276,Esophageal squamous cell carcinoma,0.3863
hsa_circ_0038648,Esophageal squamous cell carcinoma,0.3859
hsa_circ_0054211,Esophageal squamous cell carcinoma,0.3857
hsa_circ_0006168,Esophageal squamous cell carcinoma,0.3853
hsa_circ_0131242,Esophageal squamous cell carcinoma,0.3853
circ_0000467,Esophageal squamous cell carcinoma,0.3852
hsa_circ_0001189,Esophageal squamous cell carcinoma,0.3851
circ_0000527,Esophageal squamous cell carcinoma,0.3851
hsa_circ_0000646,Esophageal squamous cell carcinoma,0.385
hsa_circ_0043534,Esophageal squamous cell carcinoma,0.3847
hsa_circ_0001162,Esophageal squamous cell carcinoma,0.3847
hsa_circ_0002168,Esophageal squamous cell carcinoma,0.3847
hsa_circ_0000527,Esophageal squamous cell carcinoma,0.3846
hsa_circ_0000896,Esophageal squamous cell carcinoma,0.3844
hsa_circ_0099476,Esophageal squamous cell carcinoma,0.3844
hsa_circ_0085495,Esophageal squamous cell carcinoma,0.3844
circ_0016788,Esophageal squamous cell carcinoma,0.3843
hsa_circ_0000740,Esophageal squamous cell carcinoma,0.3842
hsa_circ_0060108,Esophageal squamous cell carcinoma,0.3841
hsa_circ_0030018,Esophageal squamous cell carcinoma,0.384
hsa_circ_0016788,Esophageal squamous cell carcinoma,0.384
hsa_circ_0062426,Esophageal squamous cell carcinoma,0.3838
hsa_circ_0067582,Esophageal squamous cell carcinoma,0.3837
hsa_circ_0005360,Esophageal squamous cell carcinoma,0.3837
hsa_circ_0000651,Esophageal squamous cell carcinoma,0.3837
hsa_circ_0008297,Esophageal squamous cell carcinoma,0.3836
hsa_circ_0080145,Esophageal squamous cell carcinoma,0.3835
hsa_circ_0049116,Esophageal squamous cell carcinoma,0.3834
hsa_circ_0043532,Esophageal squamous cell carcinoma,0.3834
hsa_circ_0081342,Esophageal squamous cell carcinoma,0.3832
hsa_circ_0004520,Esophageal squamous cell carcinoma,0.3831
hsa_circ_0056285,Esophageal squamous cell carcinoma,0.383
hsa_circ_0004264,Esophageal squamous cell carcinoma,0.383
hsa_circ_0033074,Esophageal squamous cell carcinoma,0.3827
hsa_circ_0032603,Esophageal squamous cell carcinoma,0.3826
hsa_circ_0001879,Esophageal squamous cell carcinoma,0.3824
hsa_circ_0021549,Esophageal squamous cell carcinoma,0.3823
circ_0091579,Esophageal squamous cell carcinoma,0.3823
hsa_circ_0000098,Esophageal squamous cell carcinoma,0.3822
hsa_circ_0002078,Esophageal squamous cell carcinoma,0.3822
hsa_circ_0001400,Esophageal squamous cell carcinoma,0.382
hsa_circ_0133622,Esophageal squamous cell carcinoma,0.3816
hsa_circ_0002019,Esophageal squamous cell carcinoma,0.3813
circ_000987,Esophageal squamous cell carcinoma,0.3811
hsa_circ_0000119,Esophageal squamous cell carcinoma,0.3809
hsa_circ_0077837,Esophageal squamous cell carcinoma,0.3808
hsa_circ_0001727,Esophageal squamous cell carcinoma,0.3808
hsa_circ_0008792,Esophageal squamous cell carcinoma,0.3805
hsa_circ_0001535,Esophageal squamous cell carcinoma,0.3804
circ_0000218,Esophageal squamous cell carcinoma,0.3799
hsa_circ_0005389,Esophageal squamous cell carcinoma,0.3799
hsa_circ_0089172,Esophageal squamous cell carcinoma,0.3799
hsa_circ_0009024,Esophageal squamous cell carcinoma,0.3798
hsa_circ_0127664,Esophageal squamous cell carcinoma,0.3797
hsa_circ_0001829,Esophageal squamous cell carcinoma,0.3796
circ_0062019,Esophageal squamous cell carcinoma,0.3794
hsa_circ_0000075,Esophageal squamous cell carcinoma,0.3788
hsa_circ_0002113,Esophageal squamous cell carcinoma,0.3786
circ_0002770,Esophageal squamous cell carcinoma,0.3785
hsa_circ_0063772,Esophageal squamous cell carcinoma,0.3785
hsa_circ_0013958,Esophageal squamous cell carcinoma,0.3784
circ_0055408,Esophageal squamous cell carcinoma,0.3784
hsa_circ_0027446,Esophageal squamous cell carcinoma,0.3784
hsa_circ_0041795,Esophageal squamous cell carcinoma,0.3779
hsa_circ_0088732,Esophageal squamous cell carcinoma,0.3779
hsa_circ_0000291,Esophageal squamous cell carcinoma,0.3774
hsa_circ_0016070,Esophageal squamous cell carcinoma,0.3774
hsa_circ_0003288,Esophageal squamous cell carcinoma,0.3774
hsa_circ_0062019,Esophageal squamous cell carcinoma,0.3771
hsa_circ_0000034,Esophageal squamous cell carcinoma,0.3768
hsa_circ_0005622,Esophageal squamous cell carcinoma,0.3768
hsa_circ_0062982,Esophageal squamous cell carcinoma,0.3767
hsa_circ_0001724,Esophageal squamous cell carcinoma,0.3765
circ_0000034,Esophageal squamous cell carcinoma,0.3763
hsa_circ_0068087,Esophageal squamous cell carcinoma,0.3758
hsa_circ_0044556,Esophageal squamous cell carcinoma,0.3754
hsa_circ_0081108,Esophageal squamous cell carcinoma,0.3753
hsa_circ_0004370,Esophageal squamous cell carcinoma,0.3751
hsa_circ_0054633,Esophageal squamous cell carcinoma,0.3748
hsa_circ_0000370,Esophageal squamous cell carcinoma,0.3747
hsa_circ_0005243,Esophageal squamous cell carcinoma,0.3747
hsa_circ_0001380,Esophageal squamous cell carcinoma,0.3746
circ_0004507,Esophageal squamous cell carcinoma,0.3743
hsa_circ_0023984,Esophageal squamous cell carcinoma,0.374
hsa_circ_0075005,Esophageal squamous cell carcinoma,0.374
hsa_circ_0008797,Esophageal squamous cell carcinoma,0.3738
hsa_circ_0082352,Esophageal squamous cell carcinoma,0.3738
hsa_circ_0016068,Esophageal squamous cell carcinoma,0.3736
hsa_circ_0085534,Esophageal squamous cell carcinoma,0.3733
hsa_circ_0003204,Esophageal squamous cell carcinoma,0.3732
hsa_circ_0092222,Esophageal squamous cell carcinoma,0.3726
hsa_circ_0040809,Esophageal squamous cell carcinoma,0.3726
hsa_circ_0002623,Esophageal squamous cell carcinoma,0.3725
hsa_circ_0074362,Esophageal squamous cell carcinoma,0.3725
hsa_circ_0005620,Esophageal squamous cell carcinoma,0.3725
hsa_circ_0072568,Esophageal squamous cell carcinoma,0.3724
hsa_circ_0044520,Esophageal squamous cell carcinoma,0.3724
circ_0063517,Esophageal squamous cell carcinoma,0.3723
circ_0058124,Esophageal squamous cell carcinoma,0.3716
hsa_circ_0109046,Esophageal squamous cell carcinoma,0.371
hsa_circ_0015278,Esophageal squamous cell carcinoma,0.3707
hsa_circ_0044235,Esophageal squamous cell carcinoma,0.3706
hsa_circ_0007777,Esophageal squamous cell carcinoma,0.3706
hsa_circ_0001610,Esophageal squamous cell carcinoma,0.3706
hsa_circ_0005728,Esophageal squamous cell carcinoma,0.3705
hsa_circ_0001947,Esophageal squamous cell carcinoma,0.3705
hsa_circ_0044529,Esophageal squamous cell carcinoma,0.3703
hsa_circ_0097435,Esophageal squamous cell carcinoma,0.3702
hsa_circ_0017252,Esophageal squamous cell carcinoma,0.3701
hsa_circ_0008039,Esophageal squamous cell carcinoma,0.37
hsa_circ_0061052,Esophageal squamous cell carcinoma,0.3695
hsa_circ_0005100,Esophageal squamous cell carcinoma,0.3693
hsa_circ_0018508,Esophageal squamous cell carcinoma,0.3688
hsa_circ_0085428,Esophageal squamous cell carcinoma,0.3674
hsa_circ_0009558,Esophageal squamous cell carcinoma,0.3673
hsa_circ_0039388,Esophageal squamous cell carcinoma,0.367
hsa_circ_0058124,Esophageal squamous cell carcinoma,0.3668
hsa_circ_0124644,Esophageal squamous cell carcinoma,0.3663
hsa_circ_0003221,Esophageal squamous cell carcinoma,0.3663
hsa_circ_0068655,Esophageal squamous cell carcinoma,0.3659
hsa_circ_0023903,Esophageal squamous cell carcinoma,0.3658
hsa_circ_0002495,Esophageal squamous cell carcinoma,0.3657
hsa_circ_0070963,Esophageal squamous cell carcinoma,0.3656
hsa_circ_0000267,Esophageal squamous cell carcinoma,0.3654
hsa_circ_0007121,Esophageal squamous cell carcinoma,0.365
hsa_circ_0064574,Esophageal squamous cell carcinoma,0.3649
hsa_circ_0004018,Esophageal squamous cell carcinoma,0.3645
hsa_circ_0006988,Esophageal squamous cell carcinoma,0.3645
hsa_circ_0006719,Esophageal squamous cell carcinoma,0.3643
hsa_circ_0046159,Esophageal squamous cell carcinoma,0.3642
hsa_circ_0043469,Esophageal squamous cell carcinoma,0.364
hsa_circ_0001955,Esophageal squamous cell carcinoma,0.3636
hsa_circ_0006459,Esophageal squamous cell carcinoma,0.3633
hsa_circ_0015756,Esophageal squamous cell carcinoma,0.3626
hsa_circ_0003738,Esophageal squamous cell carcinoma,0.3626
hsa_circ_0040039,Esophageal squamous cell carcinoma,0.3624
hsa_circ_0000378,Esophageal squamous cell carcinoma,0.3621
hsa_circ_0005505,Esophageal squamous cell carcinoma,0.3621
hsa_circ_0046263,Esophageal squamous cell carcinoma,0.3619
hsa_circ_0013339,Esophageal squamous cell carcinoma,0.3619
hsa_circ_0079593,Esophageal squamous cell carcinoma,0.3618
hsa_circ_0008365,Esophageal squamous cell carcinoma,0.3615
hsa_circ_0000218,Esophageal squamous cell carcinoma,0.361
circ_002671,Esophageal squamous cell carcinoma,0.3608
hsa_circ_0132813,Esophageal squamous cell carcinoma,0.3601
hsa_circ_0059665,Esophageal squamous cell carcinoma,0.3601
hsa_circ_0058106,Esophageal squamous cell carcinoma,0.3598
hsa_circ_0057481,Esophageal squamous cell carcinoma,0.3592
hsa_circ_0000495,Esophageal squamous cell carcinoma,0.3574
hsa_circ_0068481,Esophageal squamous cell carcinoma,0.3574
hsa_circ_0004277,Esophageal squamous cell carcinoma,0.3572
hsa_circ_0000512,Esophageal squamous cell carcinoma,0.357
hsa_circ_0000419,Esophageal squamous cell carcinoma,0.357
hsa_circ_0008305,Esophageal squamous cell carcinoma,0.3563
hsa_circ_0000140,Esophageal squamous cell carcinoma,0.3561
hsa_circ_0089310,Esophageal squamous cell carcinoma,0.3561
hsa_circ_0024002,Esophageal squamous cell carcinoma,0.3556
hsa_circ_0028173,Esophageal squamous cell carcinoma,0.3552
hsa_circ_0011946,Esophageal squamous cell carcinoma,0.355
hsa_circ_0003528,Esophageal squamous cell carcinoma,0.3545
hsa_circ_0007158,Esophageal squamous cell carcinoma,0.3529
hsa_circ_0001846,Esophageal squamous cell carcinoma,0.3528
hsa_circ_0050898,Esophageal squamous cell carcinoma,0.3524
hsa_circ_0054537,Esophageal squamous cell carcinoma,0.3518
hsa_circ_0086414,Esophageal squamous cell carcinoma,0.3517
hsa_circ_0001449,Esophageal squamous cell carcinoma,0.3515
hsa_circ_0008274,Esophageal squamous cell carcinoma,0.3515
hsa_circ_0000096,Esophageal squamous cell carcinoma,0.3513
hsa_circ_0136666,Esophageal squamous cell carcinoma,0.3509
hsa_circ_0000064,Esophageal squamous cell carcinoma,0.3508
hsa_circ_0002203,Esophageal squamous cell carcinoma,0.3506
hsa_circ_0061012,Esophageal squamous cell carcinoma,0.3505
hsa_circ_0085616,Esophageal squamous cell carcinoma,0.3503
hsa_circ_0043533,Esophageal squamous cell carcinoma,0.3501
hsa_circ_0005870,Esophageal squamous cell carcinoma,0.35
hsa_circ_0007334,Esophageal squamous cell carcinoma,0.3498
hsa_circ_0089762,Esophageal squamous cell carcinoma,0.3498
hsa_circ_0000847,Esophageal squamous cell carcinoma,0.3498
circ_0000502,Esophageal squamous cell carcinoma,0.3496
hsa_circ_0001910,Esophageal squamous cell carcinoma,0.3495
hsa_circ_0014717,Esophageal squamous cell carcinoma,0.3493
hsa_circ_0088036,Esophageal squamous cell carcinoma,0.3493
hsa_circ_0023642,Esophageal squamous cell carcinoma,0.3491
hsa_circ_0102722,Esophageal squamous cell carcinoma,0.3488
hsa_circ_0023302,Esophageal squamous cell carcinoma,0.3488
hsa_circ_0082374,Esophageal squamous cell carcinoma,0.3485
hsa_circ_0008737,Esophageal squamous cell carcinoma,0.3479
hsa_circ_0002801,Esophageal squamous cell carcinoma,0.3471
hsa_circ_0000732,Esophageal squamous cell carcinoma,0.3469
hsa_circ_0023114,Esophageal squamous cell carcinoma,0.3465
hsa_circ_0000199,Esophageal squamous cell carcinoma,0.3464
hsa_circ_0079993,Esophageal squamous cell carcinoma,0.3456
hsa_circ_0000517,Esophageal squamous cell carcinoma,0.3448
hsa_circ_0060450,Esophageal squamous cell carcinoma,0.3442
hsa_circ_0039411,Esophageal squamous cell carcinoma,0.3441
hsa_circ_0067835,Esophageal squamous cell carcinoma,0.3437
hsa_circ_0004104,Esophageal squamous cell carcinoma,0.3434
circ_0074027,Esophageal squamous cell carcinoma,0.3434
hsa_circ_0000594,Esophageal squamous cell carcinoma,0.3422
hsa_circ_0017639,Esophageal squamous cell carcinoma,0.342
hsa_circ_0017545,Esophageal squamous cell carcinoma,0.3415
hsa_circ_0024169,Esophageal squamous cell carcinoma,0.3414
hsa_circ_0061265,Esophageal squamous cell carcinoma,0.3407
hsa_circ_0001461,Esophageal squamous cell carcinoma,0.3406
hsa_circ_0003949,Esophageal squamous cell carcinoma,0.3405
circ_0062491,Esophageal squamous cell carcinoma,0.3405
hsa_circ_0023028,Esophageal squamous cell carcinoma,0.34
hsa_circ_0005114,Esophageal squamous cell carcinoma,0.3399
hsa_circ_0006916,Esophageal squamous cell carcinoma,0.3398
hsa_circ_0103809,Esophageal squamous cell carcinoma,0.3393
hsa_circ_0001105,Esophageal squamous cell carcinoma,0.339
hsa_circ_0004872,Esophageal squamous cell carcinoma,0.339
hsa_circ_0000745,Esophageal squamous cell carcinoma,0.3388
hsa_circ_0023826,Esophageal squamous cell carcinoma,0.3388
hsa_circ_0056159,Esophageal squamous cell carcinoma,0.3388
hsa_circ_0002711,Esophageal squamous cell carcinoma,0.3388
hsa_circ_0018069,Esophageal squamous cell carcinoma,0.3387
hsa_circ_0006404,Esophageal squamous cell carcinoma,0.3382
hsa_circ_0008035,Esophageal squamous cell carcinoma,0.3382
hsa_circ_0007059,Esophageal squamous cell carcinoma,0.338
hsa_circ_0102272,Esophageal squamous cell carcinoma,0.3377
hsa_circ_0001566,Esophageal squamous cell carcinoma,0.3376
hsa_circ_0058058,Esophageal squamous cell carcinoma,0.3373
hsa_circ_0011385,Esophageal squamous cell carcinoma,0.3365
hsa_circ_0012673,Esophageal squamous cell carcinoma,0.3365
hsa_circ_0061656,Esophageal squamous cell carcinoma,0.3364
hsa_circ_0005927,Esophageal squamous cell carcinoma,0.3362
hsa_circ_0001417,Esophageal squamous cell carcinoma,0.336
hsa_circ_0000268,Esophageal squamous cell carcinoma,0.3348
hsa_circ_0009128,Esophageal squamous cell carcinoma,0.3344
hsa_circ_0005519,Esophageal squamous cell carcinoma,0.3344
hsa_circ_0000515,Esophageal squamous cell carcinoma,0.3342
hsa_circ_0002768,Esophageal squamous cell carcinoma,0.3338
hsa_circ_0072391,Esophageal squamous cell carcinoma,0.3332
hsa_circ_0005912,Esophageal squamous cell carcinoma,0.3331
hsa_circ_0126897,Esophageal squamous cell carcinoma,0.3319
hsa_circ_0024108,Esophageal squamous cell carcinoma,0.3318
hsa_circ_0007294,Esophageal squamous cell carcinoma,0.3306
hsa_circ_0008285,Esophageal squamous cell carcinoma,0.3303
circ_0000003,Esophageal squamous cell carcinoma,0.3299
hsa_circ_0004214,Esophageal squamous cell carcinoma,0.3295
hsa_circ_0007142,Esophageal squamous cell carcinoma,0.3294
hsa_circ_0001806,Esophageal squamous cell carcinoma,0.3292
hsa_circ_0059354,Esophageal squamous cell carcinoma,0.329
hsa_circ_0001451,Esophageal squamous cell carcinoma,0.3288
hsa_circ_0004136,Esophageal squamous cell carcinoma,0.3288
hsa_circ_0009910,Esophageal squamous cell carcinoma,0.3288
hsa_circ_0002346,Esophageal squamous cell carcinoma,0.3287
hsa_circ_0000735,Esophageal squamous cell carcinoma,0.3285
hsa_circ_0001721,Esophageal squamous cell carcinoma,0.3284
hsa_circ_0009035,Esophageal squamous cell carcinoma,0.3281
hsa_circ_0034642,Esophageal squamous cell carcinoma,0.3277
hsa_circ_0005397,Esophageal squamous cell carcinoma,0.3275
hsa_circ_0000414,Esophageal squamous cell carcinoma,0.3272
hsa_circ_0005692,Esophageal squamous cell carcinoma,0.3271
hsa_circ_0005035,Esophageal squamous cell carcinoma,0.3265
hsa_circ_0007255,Esophageal squamous cell carcinoma,0.3262
hsa_circ_0134501,Esophageal squamous cell carcinoma,0.3247
hsa_circ_0005795,Esophageal squamous cell carcinoma,0.3238
hsa_circ_0003028,Esophageal squamous cell carcinoma,0.3235
hsa_circ_0000518,Esophageal squamous cell carcinoma,0.323
hsa_circ_0078710,Esophageal squamous cell carcinoma,0.3229
hsa_circ_0067301,Esophageal squamous cell carcinoma,0.3228
hsa_circ_0075370,Esophageal squamous cell carcinoma,0.3227
hsa_circ_0009043,Esophageal squamous cell carcinoma,0.322
hsa_circ_0002755,Esophageal squamous cell carcinoma,0.3219
hsa_circ_0020397,Esophageal squamous cell carcinoma,0.3215
hsa_circ_0001801,Esophageal squamous cell carcinoma,0.3214
hsa_circ_0123190,Esophageal squamous cell carcinoma,0.3212
hsa_circ_0041103,Esophageal squamous cell carcinoma,0.3207
hsa_circ_0004417,Esophageal squamous cell carcinoma,0.32
hsa_circ_0006117,Esophageal squamous cell carcinoma,0.32
hsa_circ_0044516,Esophageal squamous cell carcinoma,0.3194
hsa_circ_0026134,Esophageal squamous cell carcinoma,0.3192
hsa_circ_0000190,Esophageal squamous cell carcinoma,0.3186
circ_0115744,Esophageal squamous cell carcinoma,0.3185
hsa_circ_0003645,Esophageal squamous cell carcinoma,0.3182
hsa_circ_0000144,Esophageal squamous cell carcinoma,0.318
hsa_circ_0005239,Esophageal squamous cell carcinoma,0.318
hsa_circ_0005075,Esophageal squamous cell carcinoma,0.3175
hsa_circ_0012342,Esophageal squamous cell carcinoma,0.316
hsa_circ_0008732,Esophageal squamous cell carcinoma,0.3158
hsa_circ_0087862,Esophageal squamous cell carcinoma,0.3148
hsa_circ_0006294,Esophageal squamous cell carcinoma,0.3146
hsa_circ_0123778,Esophageal squamous cell carcinoma,0.3144
hsa_circ_0017526,Esophageal squamous cell carcinoma,0.3143
hsa_circ_0023404,Esophageal squamous cell carcinoma,0.3143
circ_0001658,Esophageal squamous cell carcinoma,0.3141
hsa_circ_0058097,Esophageal squamous cell carcinoma,0.3141
hsa_circ_0091702,Esophageal squamous cell carcinoma,0.3138
hsa_circ_0000936,Esophageal squamous cell carcinoma,0.3138
hsa_circ_0001599,Esophageal squamous cell carcinoma,0.3132
hsa_circ_0000005,Esophageal squamous cell carcinoma,0.3128
hsa_circ_0008234,Esophageal squamous cell carcinoma,0.3127
hsa_circ_0000520,Esophageal squamous cell carcinoma,0.3097
hsa_circ_0008450,Esophageal squamous cell carcinoma,0.3089
hsa_circ_0000006,Esophageal squamous cell carcinoma,0.3088
hsa_circ_0000479,Esophageal squamous cell carcinoma,0.3078
hsa_circ_0001681,Esophageal squamous cell carcinoma,0.3072
hsa_circ_0000977,Esophageal squamous cell carcinoma,0.3029
hsa_circ_0006156,Esophageal squamous cell carcinoma,0.3025
hsa_circ_0074027,Esophageal squamous cell carcinoma,0.3024
hsa_circ_0023919,Esophageal squamous cell carcinoma,0.2991
hsa_circ_0001368,Esophageal squamous cell carcinoma,0.2991
hsa_circ_0008433,Esophageal squamous cell carcinoma,0.2989
hsa_circ_0043278,Esophageal squamous cell carcinoma,0.2979
hsa_circ_0084927,Esophageal squamous cell carcinoma,0.2976
hsa_circ_0004662,Esophageal squamous cell carcinoma,0.2966
hsa_circ_0000285,Esophageal squamous cell carcinoma,0.2964
hsa_circ_0026070,Esophageal squamous cell carcinoma,0.2946
hsa_circ_0002577,Esophageal squamous cell carcinoma,0.2919
hsa_circ_0074854,Esophageal squamous cell carcinoma,0.2913
hsa_circ_0001073,Esophageal squamous cell carcinoma,0.2896
hsa_circ_0058514,Esophageal squamous cell carcinoma,0.2865
hsa_circ_0020093,Esophageal squamous cell carcinoma,0.2858
hsa_circ_0007874,Esophageal squamous cell carcinoma,0.2823
hsa_circ_0000175,Esophageal squamous cell carcinoma,0.281
hsa_circ_0072309,Esophageal squamous cell carcinoma,0.2793
hsa_circ_0039569,Esophageal squamous cell carcinoma,0.2775
hsa_circ_0073029,Esophageal squamous cell carcinoma,0.2762
hsa_circ_0005273,Esophageal squamous cell carcinoma,0.2716
hsa_circ_0001627,Esophageal squamous cell carcinoma,0.2713
hsa_circ_0007444,Esophageal squamous cell carcinoma,0.2703
hsa_circ_0004846,Esophageal squamous cell carcinoma,0.2697
hsa_circ_0072995,Esophageal squamous cell carcinoma,0.267
hsa_circ_0004771,Esophageal squamous cell carcinoma,0.2648
hsa_circ_0000043,Esophageal squamous cell carcinoma,0.2644
hsa_circ_0025033,Esophageal squamous cell carcinoma,0.2634
circ_0067934,Esophageal squamous cell carcinoma,0.2588
hsa_circ_0000677,Esophageal squamous cell carcinoma,0.2557
hsa_circ_0001445,Esophageal squamous cell carcinoma,0.2537
circ_0095812,Esophageal squamous cell carcinoma,0.2499
hsa_circ_0014130,Esophageal squamous cell carcinoma,0.2497
hsa_circ_0072088,Esophageal squamous cell carcinoma,0.2489
hsa_circ_0001313,Esophageal squamous cell carcinoma,0.2435
hsa_circ_0008717,Esophageal squamous cell carcinoma,0.2388
hsa_circ_0000567,Esophageal squamous cell carcinoma,0.2385
hsa_circ_0061140,Esophageal squamous cell carcinoma,0.2322
hsa_circ_0001859,Esophageal squamous cell carcinoma,0.2318
hsa_circ_0007534,Esophageal squamous cell carcinoma,0.231
hsa_circ_0001649,Esophageal squamous cell carcinoma,0.1958
hsa_circ_0000376,Esophageal squamous cell carcinoma,0.1938
hsa_circ_0001821,Esophageal squamous cell carcinoma,0.1861
hsa_circ_0067934,Esophageal squamous cell carcinoma,0.1722
hsa_circ_0000615,Esophageal squamous cell carcinoma,0.1616
hsa_circ_0000284,Esophageal squamous cell carcinoma,0.1378
hsa_circ_0001946,Esophageal squamous cell carcinoma,0.1066
hsa_circ_001587,Pancreatic cancer,0.7488
hsa_circ_0006215,Pancreatic cancer,0.7005
circ_0092314,Pancreatic cancer,0.6852
hsa_circ_0071036,Pancreatic cancer,0.6839
hsa_circ_0086375,Pancreatic cancer,0.6779
hsa_circ_0099999,Pancreatic cancer,0.6671
hsa_circ_0025580,Pancreatic cancer,0.619
hsa_circ_0005082,Pancreatic cancer,0.5998
hsa_circ_0037251,Pancreatic cancer,0.5791
hsa_circ_0050581,Pancreatic cancer,0.562
hsa_circ_0002018,Pancreatic cancer,0.5458
hsa_circ_0055538,Pancreatic cancer,0.5419
hsa_circ_0001105,Pancreatic cancer,0.5311
hsa_circ_0043603,Pancreatic cancer,0.5305
hsa_circ_0005114,Pancreatic cancer,0.5228
hsa_circ_0062459,Pancreatic cancer,0.516
hsa_circ_0033988,Pancreatic cancer,0.5147
circ_0000218,Pancreatic cancer,0.4999
hsa_circ_0061276,Pancreatic cancer,0.4911
hsa_circ_0000944,Pancreatic cancer,0.4907
hsa_circ_0000598,Pancreatic cancer,0.4894
hsa_circ_0001022,Pancreatic cancer,0.485
hsa_circ_0066659,Pancreatic cancer,0.4769
circ_0081143,Pancreatic cancer,0.4749
circ_0000003,Pancreatic cancer,0.4747
hsa_circ_0001907,Pancreatic cancer,0.4746
hsa_circ_0017526,Pancreatic cancer,0.4717
hsa_circ_0085020,Pancreatic cancer,0.4707
hsa_circ_0064428,Pancreatic cancer,0.4705
hsa_circ_0090956,Pancreatic cancer,0.4698
hsa_circ_0000700,Pancreatic cancer,0.469
hsa_circ_0079876,Pancreatic cancer,0.4688
circ_0001658,Pancreatic cancer,0.4687
hsa_circ_0009361,Pancreatic cancer,0.4674
